Serial number,Datum ID,Session ID,Data format version,Firmware version,App version,Date / time local,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA200-0071,174303,96,1,1.1,1.4,2022-07-14T09:29:00,0,2022-07-14,09:29:00,37.99531186,23.81590354,0.2,11,60,128,100,1080,2412,-28684,5,150,0,0,0,39.58,20.2,12.57,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794759,,911605,0.289956,"""","""",930466,,753738,0.239784,"""","""",929051,,767029,0.209796,"""","""",965706,,879470,0.165969,"""","""",659947,,916502,0.073841,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174304,96,1,1.1,1.4,2022-07-14T09:30:00,0,2022-07-14,09:30:00,37.99530733,23.81589085,0.3,11,60,128,100,954,2337,-28254,5,150,0,0,0,39.56,20.1,12.52,98560,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794286,,911397,0.327537,"""","""",930636,,754077,0.271345,"""","""",937144,,773909,0.237094,"""","""",965623,,879541,0.185687,"""","""",660134,,916841,0.082649,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174305,96,1,1.1,1.4,2022-07-14T09:31:00,0,2022-07-14,09:31:00,37.99514502,23.8159278,0.2,12,60,128,100,844,2064,-27812,5,150,0,0,0,39.54,20.1,12.47,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,794231,,911716,0.36831,"""","""",930422,,754159,0.302082,"""","""",936332,,773438,0.26415,"""","""",965259,,879433,0.208885,"""","""",660137,,916960,0.095436,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174306,96,1,1.1,1.4,2022-07-14T09:32:00,0,2022-07-14,09:32:00,37.99519438,23.81590486,0.1,12,60,128,100,754,2308,-27550,5,150,0,0,0,39.53,20,12.42,98564,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,793953,,911792,0.407277,"""","""",930227,,754242,0.334072,"""","""",928157,,766904,0.290651,"""","""",965468,,879790,0.228507,"""","""",660058,,916969,0.104473,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174307,96,1,1.1,1.4,2022-07-14T09:33:00,0,2022-07-14,09:33:00,37.99522585,23.81587189,0.1,12,60,128,100,1136,2576,-31000,5,150,0,0,0,39.52,20,12.35,98560,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,793360,,911410,0.445068,"""","""",929572,,753949,0.363904,"""","""",927557,,766589,0.315225,"""","""",964622,,879153,0.2478,"""","""",659934,,916894,0.116714,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174308,96,1,1.1,1.4,2022-07-14T09:34:00,0,2022-07-14,09:34:00,37.99525416,23.81586057,0,12,60,128,100,867,2136,-27356,5,150,0,0,0,39.5,19.9,12.27,98556,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,793063,,911420,0.483146,"""","""",929582,,754170,0.392658,"""","""",927535,,766765,0.339962,"""","""",964981,,879671,0.268739,"""","""",660085,,917172,0.127048,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174309,96,1,1.1,1.4,2022-07-14T09:35:00,0,2022-07-14,09:35:00,37.99532032,23.81587756,0.1,12,60,128,100,1058,2583,-29104,5,150,0,0,0,39.49,19.8,12.23,98564,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,792239,,910843,0.520939,"""","""",929099,,754003,0.423002,"""","""",935211,,773329,0.367307,"""","""",964514,,879457,0.288284,"""","""",659941,,917088,0.139057,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174310,96,1,1.1,1.4,2022-07-14T09:36:00,0,2022-07-14,09:36:00,37.99529684,23.81585616,0.1,12,60,128,100,962,2266,-26870,5,150,0,0,0,39.48,19.8,12.19,98560,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,791906,,910838,0.562683,"""","""",928759,,753946,0.453269,"""","""",926947,,766708,0.392622,"""","""",964228,,879342,0.308359,"""","""",659972,,917269,0.151149,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174311,96,1,1.1,1.4,2022-07-14T09:37:01,0,2022-07-14,09:37:01,37.99528062,23.81583577,0.1,12,60,128,100,845,2395,-25558,5,150,0,0,0,39.45,19.7,12.14,98560,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,791166,,910292,0.598171,"""","""",928139,,753662,0.480253,"""","""",926456,,766469,0.416553,"""","""",969834,,884647,0.327003,"""","""",659620,,916871,0.161106,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174312,96,1,1.1,1.4,2022-07-14T09:38:00,0,2022-07-14,09:38:00,37.99529451,23.81586689,0.1,12,60,128,100,1175,2625,-31000,5,150,0,0,0,39.44,19.7,12.13,98560,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,790904,,910344,0.635898,"""","""",927759,,753549,0.509466,"""","""",930652,,770113,0.439744,"""","""",969879,,884816,0.345451,"""","""",659692,,917060,0.172607,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174313,96,1,1.1,1.4,2022-07-14T09:39:00,0,2022-07-14,09:39:00,37.99529439,23.81584853,0.1,12,60,128,100,758,2391,-23870,5,150,0,0,0,39.43,19.7,12.09,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,790767,,910532,0.672224,"""","""",927107,,753268,0.536174,"""","""",930526,,770211,0.462503,"""","""",963409,,879090,0.36307,"""","""",659694,,917170,0.183216,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174314,96,1,1.1,1.4,2022-07-14T09:40:00,0,2022-07-14,09:40:00,37.99529499,23.81586689,0,12,60,128,100,1000,2379,-28562,5,150,0,0,0,39.43,19.7,12.09,98552,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,789996,,909964,0.711515,"""","""",926702,,753130,0.565744,"""","""",925660,,766346,0.48768,"""","""",962982,,878860,0.382721,"""","""",659662,,917210,0.194519,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174315,96,1,1.1,1.4,2022-07-14T09:41:00,0,2022-07-14,09:41:00,37.99529523,23.81587833,0,12,60,128,100,779,2145,-25366,5,150,0,0,0,39.42,19.7,12.05,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,789948,,910235,0.746756,"""","""",926331,,753030,0.592351,"""","""",925445,,766339,0.510972,"""","""",963418,,879426,0.401294,"""","""",659524,,917135,0.204681,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174316,96,1,1.1,1.4,2022-07-14T09:42:00,0,2022-07-14,09:42:00,37.99528229,23.81588113,0.1,12,60,128,100,924,2304,-27212,5,150,0,0,0,39.41,19.7,12.05,98544,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,789709,,910293,0.781366,"""","""",926065,,753011,0.616985,"""","""",925317,,766404,0.531572,"""","""",963256,,879412,0.416839,"""","""",659791,,917568,0.214874,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174317,96,1,1.1,1.4,2022-07-14T09:43:00,0,2022-07-14,09:43:00,37.99526399,23.81589115,0,12,60,128,100,976,2432,-27084,5,150,0,0,0,39.41,19.7,12.05,98544,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,789246,,910146,0.819987,"""","""",925765,,753001,0.646495,"""","""",936928,,776231,0.557971,"""","""",963169,,879513,0.436574,"""","""",659611,,917473,0.227787,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174318,96,1,1.1,1.4,2022-07-14T09:44:00,0,2022-07-14,09:44:00,37.99531633,23.81588572,0,12,60,128,100,848,2288,-26619,5,150,0,0,0,39.4,19.7,12.04,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,789149,,910331,0.856036,"""","""",925618,,753093,0.674325,"""","""",940678,,779511,0.581665,"""","""",963099,,879590,0.454605,"""","""",659815,,917820,0.238601,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174319,96,1,1.1,1.4,2022-07-14T09:45:00,0,2022-07-14,09:45:00,37.99529862,23.81585658,0.1,12,60,128,100,892,2344,-27803,5,150,0,0,0,39.4,19.7,12.04,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,788852,,910308,0.893349,"""","""",925397,,753096,0.700599,"""","""",933239,,773515,0.604444,"""","""",962809,,879503,0.473273,"""","""",659678,,917769,0.250354,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174320,96,1,1.1,1.4,2022-07-14T09:46:00,0,2022-07-14,09:46:00,37.99530751,23.81590682,0.1,12,60,128,100,980,2484,-29636,5,150,0,0,0,39.4,19.7,12.04,98552,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,788313,,910013,0.926646,"""","""",924884,,752838,0.723981,"""","""",921482,,763900,0.622982,"""","""",962831,,879641,0.487834,"""","""",660049,,918325,0.26041,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174321,96,1,1.1,1.4,2022-07-14T09:47:01,0,2022-07-14,09:47:01,37.99531054,23.81590468,0,12,60,128,100,984,2460,-29147,5,150,0,0,0,39.4,19.7,12.04,98544,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,787777,,909674,0.960722,"""","""",924783,,752951,0.750631,"""","""",924678,,766768,0.646389,"""","""",962330,,879365,0.505513,"""","""",659473,,917663,0.270439,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174322,96,1,1.1,1.4,2022-07-14T09:48:00,0,2022-07-14,09:48:00,37.9953658,23.81594819,0,12,60,128,100,916,2400,-27968,5,150,0,0,0,39.4,19.7,12.04,98548,39.69,SINGLESPOT-UV-BLUE-GREEN-RED-IR,787845,,910188,1.004261,"""","""",924426,,752901,0.781358,"""","""",924407,,766706,0.672208,"""","""",962460,,879651,0.526202,"""","""",659382,,917675,0.284397,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174323,96,1,1.1,1.4,2022-07-14T09:49:00,0,2022-07-14,09:49:00,37.99531364,23.81589192,0.1,12,60,128,100,912,2428,-27288,5,150,0,0,0,39.43,19.7,12.06,98560,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,786982,,909558,1.046067,"""","""",923581,,752448,0.8143,"""","""",923674,,766342,0.699663,"""","""",967239,,884206,0.548035,"""","""",659111,,917399,0.297653,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174324,96,1,1.1,1.4,2022-07-14T09:50:00,0,2022-07-14,09:50:00,37.99521333,23.8158977,0.4,11,60,128,100,820,2320,-26252,5,150,0,0,0,39.44,19.7,12.07,98560,39.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,786596,,909415,1.081026,"""","""",923008,,752186,0.838565,"""","""",931633,,773070,0.72059,"""","""",966270,,883481,0.563967,"""","""",659020,,917384,0.309249,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174325,96,1,1.1,1.4,2022-07-14T09:51:00,0,2022-07-14,09:51:00,37.99516219,23.81589115,0.1,11,60,128,100,988,2224,-27808,5,150,0,0,0,39.43,19.7,12.06,98552,39.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,786328,,909399,1.112787,"""","""",922481,,751908,0.860954,"""","""",923031,,766070,0.7388,"""","""",965702,,883090,0.579309,"""","""",658305,,916476,0.321086,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174326,96,1,1.1,1.4,2022-07-14T09:52:00,0,2022-07-14,09:52:00,37.995215,23.81589854,0,11,60,128,100,612,2154,-23566,5,150,0,0,0,39.43,19.7,12.06,98552,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785876,,909185,1.147657,"""","""",922381,,752003,0.885576,"""","""",927151,,769671,0.75962,"""","""",965352,,882901,0.595426,"""","""",660850,,920171,0.333404,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174327,96,1,1.1,1.4,2022-07-14T09:53:00,0,2022-07-14,09:53:00,37.99534601,23.81590581,0.1,11,60,128,100,858,2200,-26000,5,150,0,0,0,39.42,19.7,12.05,98560,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785550,,909091,1.178113,"""","""",922525,,752297,0.908649,"""","""",926559,,769341,0.779348,"""","""",965073,,882769,0.609684,"""","""",657868,,916097,0.34309,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174328,96,1,1.1,1.4,2022-07-14T09:54:01,0,2022-07-14,09:54:01,37.99531186,23.81591445,0,11,60,128,100,945,2258,-28041,5,150,0,0,0,39.41,19.7,12.08,98548,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785287,,909091,1.210887,"""","""",922615,,752528,0.931854,"""","""",926302,,769253,0.798297,"""","""",965236,,883041,0.625527,"""","""",660766,,920243,0.353813,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174329,96,1,1.1,1.4,2022-07-14T09:55:00,0,2022-07-14,09:55:00,37.99528337,23.81591105,0,11,60,128,100,824,2276,-24540,5,150,0,0,0,39.41,19.7,12.08,98548,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785367,,909464,1.241472,"""","""",922482,,752621,0.954319,"""","""",926206,,769343,0.817371,"""","""",965363,,883291,0.639462,"""","""",657935,,916354,0.361881,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174330,96,1,1.1,1.4,2022-07-14T09:56:00,0,2022-07-14,09:56:00,37.99526882,23.81589276,0.1,11,60,128,100,1024,2304,-29256,5,150,0,0,0,39.4,19.7,12.07,98544,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785201,,909567,1.27364,"""","""",922361,,752700,0.977678,"""","""",922209,,766154,0.837059,"""","""",965664,,883697,0.654673,"""","""",658436,,917146,0.37112,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174331,96,1,1.1,1.4,2022-07-14T09:57:00,0,2022-07-14,09:57:00,37.99519449,23.8158567,0.2,12,60,128,100,855,2236,-26547,5,150,0,0,0,39.4,19.7,12.07,98544,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,784750,,909312,1.302422,"""","""",922192,,752713,0.999683,"""","""",921283,,765528,0.856275,"""","""",964964,,883205,0.670099,"""","""",657921,,916474,0.381561,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174332,96,1,1.1,1.4,2022-07-14T09:58:00,0,2022-07-14,09:58:00,37.9951492,23.8158766,0.3,12,60,128,100,976,2532,-29875,5,150,0,0,0,39.39,19.7,12.06,98540,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,784133,,908817,1.331627,"""","""",921638,,752405,1.020647,"""","""",925667,,769328,0.874101,"""","""",964532,,882944,0.683832,"""","""",657938,,916597,0.390117,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174333,96,1,1.1,1.4,2022-07-14T09:59:00,0,2022-07-14,09:59:00,37.99526364,23.81584907,0.2,12,60,128,100,929,2450,-27025,5,150,0,0,0,39.38,19.7,12.04,98544,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783618,,908505,1.3599,"""","""",921348,,752369,1.042068,"""","""",925315,,769161,0.892478,"""","""",964170,,882743,0.698316,"""","""",657611,,916234,0.399166,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174334,96,1,1.1,1.4,2022-07-14T10:00:00,0,2022-07-14,10:00:00,37.99532133,23.81584275,0.1,12,60,128,100,866,2283,-26691,5,150,0,0,0,39.36,19.7,12.05,98552,39.63,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783022,,908070,1.389205,"""","""",926386,,756641,1.063949,"""","""",920532,,765328,0.91126,"""","""",963876,,882592,0.713271,"""","""",660278,,920046,0.406593,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174335,96,1,1.1,1.4,2022-07-14T10:01:00,0,2022-07-14,10:01:00,37.99527651,23.81587785,0.2,12,60,128,100,887,2233,-28975,5,150,0,0,0,39.35,19.7,12.04,98552,39.56,SINGLESPOT-UV-BLUE-GREEN-RED-IR,782179,,907366,1.417218,"""","""",925083,,755725,1.086963,"""","""",924345,,768669,0.932275,"""","""",963014,,881951,0.728619,"""","""",657217,,915851,0.416442,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174336,96,1,1.1,1.4,2022-07-14T10:02:00,0,2022-07-14,10:02:00,37.99529099,23.8158797,0.2,12,60,128,100,984,2264,-28084,5,150,0,0,0,39.3,19.7,12.01,98548,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,786116,,912229,1.447619,"""","""",923597,,754692,1.107639,"""","""",919121,,764445,0.949031,"""","""",961781,,880957,0.742227,"""","""",659441,,919001,0.423702,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174337,96,1,1.1,1.4,2022-07-14T10:03:00,0,2022-07-14,10:03:00,37.99528605,23.81587672,0.3,12,60,128,100,975,2279,-27895,5,150,0,0,0,39.29,19.8,12.03,98540,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,785427,,911719,1.481446,"""","""",922917,,754325,1.13355,"""","""",922980,,767848,0.971384,"""","""",961136,,880489,0.759608,"""","""",656454,,914930,0.433723,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174338,96,1,1.1,1.4,2022-07-14T10:04:00,0,2022-07-14,10:04:00,37.99525195,23.81588882,0.2,12,60,128,100,932,2156,-27972,5,150,0,0,0,39.27,19.8,12.01,98540,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,784656,,911081,1.513153,"""","""",922202,,753951,1.159799,"""","""",922546,,767621,0.993019,"""","""",961370,,880849,0.777215,"""","""",659054,,918692,0.44432,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174339,96,1,1.1,1.4,2022-07-14T10:05:00,0,2022-07-14,10:05:00,37.99525267,23.8158834,0,12,60,128,100,870,2279,-27045,5,150,0,0,0,39.25,19.8,12.03,98540,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,784592,,911316,1.546919,"""","""",922090,,754043,1.18444,"""","""",922255,,767557,1.014947,"""","""",961181,,880856,0.793147,"""","""",659255,,919017,0.45409,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174340,96,1,1.1,1.4,2022-07-14T10:06:00,0,2022-07-14,10:06:00,37.99524444,23.81589133,0,12,60,128,100,844,2292,-27680,5,150,0,0,0,39.24,19.9,12.05,98540,39.5,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783976,,910917,1.580227,"""","""",921540,,753785,1.209402,"""","""",922041,,767535,1.03553,"""","""",960757,,880609,0.810694,"""","""",659202,,919044,0.465442,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174341,96,1,1.1,1.4,2022-07-14T10:07:00,0,2022-07-14,10:07:00,37.99523884,23.81587404,0,12,60,128,100,963,2216,-27832,5,150,0,0,0,39.23,19.9,12.04,98536,39.44,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783485,,910657,1.614112,"""","""",921097,,753619,1.233816,"""","""",917652,,764067,1.057476,"""","""",960486,,880515,0.826901,"""","""",659122,,919076,0.476062,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174342,96,1,1.1,1.4,2022-07-14T10:08:00,0,2022-07-14,10:08:00,37.9951905,23.81588423,0.5,12,60,128,100,862,2300,-27891,5,150,0,0,0,39.22,19.9,12.03,98532,39.44,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783245,,910693,1.648161,"""","""",920956,,753688,1.259632,"""","""",921951,,767791,1.079046,"""","""",960173,,880348,0.843954,"""","""",659030,,919043,0.485275,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
MA200-0071,174343,96,1,1.1,1.4,2022-07-14T10:09:00,0,2022-07-14,10:09:00,37.99522632,23.81588751,0.1,12,60,128,100,966,2187,-27641,5,150,0,0,0,39.22,19.9,12.03,98536,39.44,SINGLESPOT-UV-BLUE-GREEN-RED-IR,783371,,911115,1.679037,"""","""",920696,,753666,1.283062,"""","""",929402,,774172,1.100708,"""","""",960330,,880646,0.859856,"""","""",659180,,919338,0.496292,"""","""",0,,,0,,,0,,,0,,,0,,,Flow unstable
